"","Ticker_x","SimFinId","Report.Date","Fiscal.Year","Current.Ratio","Quick.Ratio","Total.Debt.Ratio","Debt.to.Asset.Ratio","Cash.Coverage.Ratio","Interest.Coverage.Ratio","Current.Ratio.T","Current.Ratio.out","Quick.Ratio.T","Quick.Ratio.Out","Total.Debt.Ratio.T","Total.Debt.Ratio.out","Debt.to.Asset.Ratio.T","Debt.to.Asset.Ratio.out","Cash.Coverage.Ratio.T","Cash.Coverage.Ratio.out","Interest.Coverage.Ratio.T","Interest.Coverage.Ratio.out"
"7068","NVDA",172199,"1/31/16",2015,2.574649,2.357295,0.393623,0.19308,134.375,109.75,0.945713214144943,0,0.857514775222799,0,-0.932361680551945,0,-1.64465066818984,0,8.35787501638725,0,8.68402032725154,0
"7069","NVDA",172199,"1/31/17",2016,4.774049,4.263982,0.41449,0.283,531,484.25,1.56319479179358,0,1.45020346546627,0,-0.880706430150163,0,-1.2623083813389,0,8.44682437374935,0,8.74548347554998,0
"7070","NVDA",172199,"1/31/18",2017,8.026886,7.261925,0.335379,0.17792,72.31921174,48.54982858,2.08279665698057,0,1.98264494520541,0,-1.09249404336003,0,-1.72642126791992,0,8.34321335633506,0,8.67360699334915,0
"7071","NVDA",172199,"1/31/19",2018,7.943567,6.656132,0.297171,0.149564,72.31921174,48.54982858,2.07236241871151,0,1.89553853505303,0,-1.21344754828848,0,-1.90003088411185,0,8.34321335633506,0,8.67360699334915,0
"7072","NVEC",102816,"3/31/12",2011,15.690482,13.0589,0.020065,6.021957,72.31921174,48.54982858,NA,1,NA,1,-3.90877827526326,0,1.79541228954916,0,8.34321335633506,0,8.67360699334915,0
"7073","NVEC",102816,"3/31/13",2012,10.689525,8.277953,0.018596,5.227601,72.31921174,48.54982858,2.36926428999922,0,2.11359571561049,0,-3.9848087751538,0,1.6539524730331,0,8.34321335633506,0,8.67360699334915,0
"7074","NVEC",102816,"3/31/14",2013,17.09074,13.48828,0.014608,4.756101,72.31921174,48.54982858,NA,1,NA,1,-4.22618595512952,0,1.5594282149361,0,8.34321335633506,0,8.67360699334915,0
"7075","NVEC",102816,"3/31/15",2014,24.845978,21.871824,0.016002,4.55797,72.31921174,48.54982858,NA,1,NA,1,-4.1350415645542,0,1.51687734896769,0,8.34321335633506,0,8.67360699334915,0
"7076","NVEC",102816,"3/31/16",2015,21.02326,18.544598,0.01576,4.985649,72.31921174,48.54982858,NA,1,NA,1,-4.1502801945524,0,1.60656358551146,0,8.34321335633506,0,8.67360699334915,0
"7077","NVEC",102816,"3/31/17",2016,32.130837,28.510363,0.01168,5.360164,72.31921174,48.54982858,NA,1,NA,1,-4.44987730158206,0,1.67899457162956,0,8.34321335633506,0,8.67360699334915,0
"7078","NVEC",102816,"3/31/18",2017,33.034701,28.70461,0.01132,5.748674,72.31921174,48.54982858,NA,1,NA,1,-4.4811842062071,0,1.74896921951933,0,8.34321335633506,0,8.67360699334915,0
"7126","OCC",232540,"10/31/11",2011,3.845734,1.450463,0.383183,0.182242,6.712516,2.377979,1.34696448200822,0,0.371882815808612,0,-0.959242597126295,0,-1.70241980480442,0,8.32747535328453,0,8.66567836320422,0
"7127","OCC",232540,"10/31/12",2012,4.385734,1.664291,0.371156,0.167568,11.992678,8.028807,1.47835700064174,0,0.509399206917018,0,-0.991132819578617,0,-1.78636603995135,0,8.32875118554735,0,8.66665210616372,0
"7128","OCC",232540,"10/31/13",2013,6.594065,2.218533,0.349119,0.170774,6.040609,1.644062,1.88617000204712,0,0.79684616664168,0,-1.05234244068617,0,-1.7674142340394,0,8.32731288527845,0,8.66555182603069,0
"7129","OCC",232540,"10/31/14",2014,3.803255,1.630445,0.394342,0.149825,8.108996,3.220196,1.33585727902533,0,0.488852983694247,0,-0.930536725891395,0,-1.89828733263789,0,8.32781293958798,0,8.66582355302872,0
"7130","OCC",232540,"10/31/15",2015,5.165097,1.82036,0.425067,0.160497,-0.694016,-5.414149,1.64192388264695,0,0.599034283726231,0,-0.855508475423888,0,-1.82948002817554,0,8.32568298413856,0,8.66433407725842,0
"7131","OCC",232540,"10/31/16",2016,6.379347,2.616341,0.391012,0.170807,1.349869,-1.960286,1.85306574102129,0,0.961776776781867,0,-0.939017028930632,0,-1.76722101486092,0,8.32617792213903,0,8.66493015538397,0
"7132","OCC",232540,"10/31/17",2017,6.457987,2.342625,0.409815,0.16618,0.685436,-2.518019,1.86531765932693,0,0.851272095499707,0,-0.892049440626136,0,-1.7946837407453,0,8.3260170529031,0,8.66483392418757,0
"7133","OCC",232540,"10/31/18",2018,4.417718,1.851251,0.377917,0.148952,5.847915,2.860495,1.48562327317348,0,0.615861626775283,0,-0.973080684192623,0,-1.90413117258839,0,8.32726628674213,0,8.66576154673697,0
"7203","OKTA",708398,"1/31/19",2018,2.424538,2.241206,0.70801,0.314262,-7.405852,-7.936704,0.885640990775153,0,0.807014113842657,0,-0.345297061094379,0,-1.15752824608334,0,8.32405595093453,0,8.66389850245893,0
"7204","OLED",933165,"12/31/11",2011,18.563509,18.282318,0.084656,1.365928,72.31921174,48.54982858,NA,1,NA,1,-2.46915929282036,0,0.311834051121089,0,8.34321335633506,0,8.67360699334915,0
"7205","OLED",933165,"12/31/12",2012,11.998072,11.327773,0.091535,1.327846,72.31921174,48.54982858,NA,1,NA,1,-2.39103386617916,0,0.283558080474493,0,8.34321335633506,0,8.67360699334915,0
"7206","OLED",933165,"12/31/13",2013,14.079297,12.409789,0.075781,1.106078,72.31921174,48.54982858,NA,1,NA,1,-2.57990767738479,0,0.10082042502571,0,8.34321335633506,0,8.67360699334915,0
"7207","OLED",933165,"12/31/14",2014,13.812959,11.578906,0.083914,1.049055,72.31921174,48.54982858,NA,1,NA,1,-2.47796281411359,0,0.0478897589262677,0,8.34321335633506,0,8.67360699334915,0
"7208","OLED",933165,"12/31/15",2015,12.972588,12.176847,0.165615,0.949652,72.31921174,48.54982858,NA,1,NA,1,-1.79808946142293,0,-0.0516596772870424,0,8.34321335633506,0,8.67360699334915,0
"7209","OLED",933165,"12/31/16",2016,9.584888,8.779859,0.157899,0.849989,72.31921174,48.54982858,2.26018769150498,0,2.17246034829256,0,-1.84579969086282,0,-0.162531870757983,0,8.34321335633506,0,8.67360699334915,0
"7210","OLED",933165,"12/31/17",2017,8.134589,7.40538,0.155011,0.694178,72.31921174,48.54982858,2.09612521696077,0,2.00220676308103,0,-1.86425919683905,0,-0.365026867211913,0,8.34321335633506,0,8.67360699334915,0
"7211","OLED",933165,"12/31/18",2018,4.76671,4.193314,0.260244,0.624806,72.31921174,48.54982858,1.56165633946552,0,1.43349135210071,0,-1.34613562650787,0,-0.470314077429787,0,8.34321335633506,0,8.67360699334915,0
"7235","OMCL",495083,"12/31/11",2011,4.677404,3.934191,0.222441,1.449227,0.782836,0.52465,1.54274325517142,0,1.36970526988134,0,-1.50309338107856,0,0.371030310834041,0,8.3260406365288,0,8.66535879348714,0
"7236","OMCL",495083,"12/31/12",2012,2.175765,1.413496,0.3039,1.234157,1.265399,0.848563,0.777380326838144,0,0.346066068292534,0,-1.19105657905939,0,0.210388145915455,0,8.32615747211569,0,8.6654146532054,0
"7237","OMCL",495083,"12/31/13",2013,2.529955,1.765378,0.291378,1.113472,1.655795,1.089146,0.928201516019981,0,0.568364831761308,0,-1.23313388566892,0,0.107483061462884,0,8.32625198273103,0,8.66545614040874,0
"7238","OMCL",495083,"12/31/14",2014,2.522781,1.857482,0.303663,0.994896,2.117676,1.503124,0.925361864464586,0,0.619221807118679,0,-1.19183674510644,0,-0.0051170698994787,0,8.32636378755136,0,8.66552752458891,0
"7239","OMCL",495083,"12/31/15",2015,2.119297,1.525909,0.304726,0,2.12639,1.356659,0.751084429917647,0,0.422590298056623,0,-1.18834226679823,0,-Inf,0,8.32636589677801,0,8.66550226952027,0
"7240","OMCL",495083,"12/31/16",2016,1.743433,1.131992,0.538439,0.271779,1.654266,0.165342,0.555856157946654,0,0.12397891261821,0,-0.619081066425115,0,-1.30276604294317,0,8.32625161259422,0,8.66529682614985,0
"7241","OMCL",495083,"12/31/17",2017,1.727336,1.042887,0.47241,0.214347,1.477804,0.14849,0.546580337276097,0,0.041992828826184,0,-0.749908026381709,0,-1.54015908183735,0,8.32620889415831,0,8.66529391970902,0
"7242","OMCL",495083,"12/31/18",2018,1.941216,1.287663,0.371448,0.125242,2.516739,1.166918,0.663314580839292,0,0.252828947484152,0,-0.990346397703569,0,-2.07750741331257,0,8.32646037632271,0,8.66546955139045,0
"7256","ON",136025,"12/31/10",2010,1.910255,1.29118,0.524527,0.304467,9.321839,6.581281,0.647236741000561,0,0.255556528946422,0,-0.645258374872999,0,-1.18919257208935,0,8.32810604087963,0,8.66640276078109,0
"7257","ON",136025,"12/31/11",2011,1.66813,1.065229,0.615424,0.310802,6.570796,3.187316,0.511703238549454,0,0.0631897995213329,0,-0.485443817829613,0,-1.16859922550291,0,8.32744108739659,0,8.66581788523952,0
"7258","ON",136025,"12/31/12",2012,1.653227,0.966026,0.582172,0.30402,7.994505,3.532967,0.50272913548433,0,-0.0345645300179525,0,-0.540989342265822,0,-1.19066179026626,0,8.32778526672124,0,8.66587746626736,0
"7259","ON",136025,"12/31/13",2013,2.083984,1.231812,0.537434,0.286053,12.168901,6.490617,0.734281446318462,0,0.208486256064563,0,-0.620949317217389,0,-1.25157817064562,0,8.32879373781109,0,8.66638714127235,0
"7260","ON",136025,"12/31/14",2014,1.735012,0.898636,0.56898,0.311792,16.496933,8.251534,0.551014329801417,0,-0.106877220829387,0,-0.563909994858446,0,-1.16541898016036,0,8.32983825230017,0,8.66669046676018,0
"7261","ON",136025,"12/31/15",2015,1.526265,0.842411,0.578277,0.360218,13,5.641975,0.422823574404311,0,-0.171487260317901,0,-0.54770228635365,0,-1.02104587525121,0,8.32899439744941,0,8.66624092619515,0
"7262","ON",136025,"12/31/16",2016,1.909424,1.103354,0.733551,0.523121,4.514205,1.928267,0.646801625896329,0,0.0983546316632616,0,-0.309858154163823,0,-0.647942484123664,0,8.32694370063724,0,8.66560082869941,0
"7263","ON",136025,"12/31/17",2017,2.081908,1.171623,0.610707,0.410251,8.65919,5.172214,0.733284780935947,0,0.158389967052222,0,-0.493137976562312,0,-0.890986111476821,0,8.32794591268044,0,8.6661599804692,0
"7264","ON",136025,"12/31/18",2018,2.155993,1.194855,0.579037,0.364555,11.195741,7.029484,0.768251406288233,0,0.178024839109179,0,-0.54638890016935,0,-1.00907784728405,0,8.32855872793191,0,8.66647997318886,0
"7269","OPRX",654256,"12/31/14",2014,2.305121,2.293506,0.344116,71.255173,72.31921174,48.54982858,0.835133169647826,0,0.830081651140615,0,-1.06677646914869,0,NA,1,8.34321335633506,0,8.67360699334915,0
"7270","OPRX",654256,"12/31/18",2018,3.772658,3.63304,0.263271,20.046102,72.31921174,48.54982858,1.32777979282393,0,1.29006976336287,0,-1.3345713590699,0,2.99803472088665,0,8.34321335633506,0,8.67360699334915,0
"7271","ORCL",257930,"5/31/10",2010,1.838132,1.637329,0.493342,0.237991,16.059682,13.047745,0.608749838547365,0,0.493066255593425,0,-0.706552633478826,0,-1.43552242115172,0,8.32973277696193,0,8.66751616835524,0
"7272","ORCL",257930,"5/31/11",2011,2.760287,2.499718,0.45271,0.216523,19.212871,15.752475,1.01533465983019,0,0.916177925511757,0,-0.79250353510008,0,-1.53005850161637,0,8.33049315208237,0,8.66798150625312,0
"7273","ORCL",257930,"5/31/12",2012,2.600923,2.407915,0.437142,0.210323,22.157963,18.351175,0.955866382029845,0,0.878761227820228,0,-0.82749719387726,0,-1.55911083468354,0,8.33120282387907,0,8.66842839823645,0
"7274","ORCL",257930,"5/31/13",2013,3.238968,2.972732,0.448186,0.226055,21.785445,18.107905,1.17525476054792,0,1.08948139531764,0,-0.802546954158499,0,-1.48697694648592,0,8.33111308692287,0,8.66838657217055,0
"7275","ORCL",257930,"5/31/14",2014,3.344777,3.120856,0.474365,0.266955,19.574398,16.392779,1.2074000246912,0,1.13810732316621,0,-0.745778211423343,0,-1.32067517411208,0,8.33058029550371,0,8.66809163628446,0
"7276","ORCL",257930,"5/31/15",2015,4.111535,3.94489,0.557289,0.378331,15.004374,12.501312,1.41379643810084,0,1.37242107051238,0,-0.584671322624053,0,-0.971985805154643,0,8.32947816574268,0,8.66742213046103,0
"7277","ORCL",257930,"5/31/16",2016,3.73739,3.5745,0.573988,0.390934,10.642808,8.932515,1.31838750684556,0,1.27382530622477,0,-0.555146788804447,0,-0.939216531198714,0,8.32842517469672,0,8.66680774398542,0
"7278","ORCL",257930,"5/31/17",2017,3.081934,2.952188,0.598151,0.428984,8.746941,7.38376,1.12555732200283,0,1.08254659034724,0,-0.513912048545172,0,-0.846335656786931,0,8.3279671190592,0,8.66654100047405,0
"7279","ORCL",257930,"5/31/18",2018,3.957489,3.779109,0.663247,0.441623,8.44642,7.071111,1.37560973323663,0,1.3294882675608,0,-0.410607809155822,0,-0.817298702042208,0,8.32789449167029,0,8.6664871440139,0
"7289","OSIS",344473,"6/30/12",2012,3.007258,1.545724,0.421094,0.003576,22.120293,17.015668,1.10102870012627,0,0.435492409001314,0,-0.86489919231282,0,-5.63351042167087,0,8.331193749808,0,8.66819875936014,0
"7290","OSIS",344473,"6/30/13",2013,1.821103,0.8098,0.497815,0.075015,21.881369,16.40625,0.599442361474274,0,-0.210967975384076,0,-0.697526756919256,0,-2.59006718544316,0,8.33113619510707,0,8.66809395311872,0
"7291","OSIS",344473,"6/30/14",2014,1.870813,0.74223,0.473618,0.036847,27.128309,17.157904,0.626373095744317,0,-0.298096110800654,0,-0.747354189377823,0,-3.30098107478704,0,8.332399375266,0,8.66822321918426,0
"7292","OSIS",344473,"6/30/15",2015,2.055239,0.935727,0.379296,0.012117,49.442089,31.323502,0.720392142888842,0,-0.0664315117142062,0,-0.969438376085047,0,-4.41314585373275,0,8.33775357918779,0,8.67065623521888,0
"7293","OSIS",344473,"6/30/16",2016,1.627885,0.669012,0.45464,0.13493,41.48317,21.173913,0.487281626264671,0,-0.401953281795048,0,-0.788249381993271,0,-2.00299915353944,0,8.33584711948218,0,8.66891359130406,0
"7294","OSIS",344473,"6/30/17",2017,1.886553,1.086793,0.537258,0.282213,15.393603,8.307197,0.634751354382214,0,0.0832311576218193,0,-0.621276852923569,0,-1.26509317400504,0,8.32957208148428,0,8.66670005345012,0
"7295","OSIS",344473,"6/30/18",2018,1.467775,0.666689,0.610226,0.290073,8.325558,4.71005,0.383747648690546,0,-0.405431608669277,0,-0.493925898626642,0,-1.23762266354089,0,8.32786528127084,0,8.66608033740722,0
"7311","OTEX",714157,"6/30/09",2009,1.291819,1.221137,0.544554,0.20082,15.05301,8.224523,0.256051302667229,0,0.199782391946472,0,-0.607788167972775,0,-1.60534629453085,0,8.32948990143992,0,8.66668581469461,0
"7312","OTEX",714157,"6/30/10",2010,1.238922,1.083811,0.482493,0.175156,30.129916,17.190952,0.214241646670162,0,0.080483533572444,0,-0.728788866080356,0,-1.74207827357368,0,8.33312128349112,0,8.6682289022468,0
"7313","OTEX",714157,"6/30/11",2011,1.173155,1.056178,0.462086,0.153997,34.939778,19.661737,0.159696700754089,0,0.0546567316853877,0,-0.772004258037489,0,-1.87082215727774,0,8.33427700458488,0,8.66865369659488,0
"7314","OTEX",714157,"6/30/12",2012,1.650342,1.51724,0.517492,0.243986,21.419172,11.172128,0.500982539161738,0,0.416892894840465,0,-0.658761212899302,0,-1.41064443238424,0,8.33102484649102,0,8.66719334881537,0
"7315","OTEX",714157,"6/30/13",2013,1.337435,1.222566,0.496309,0.213006,24.057826,13.054941,0.290753600476256,0,0.200951928639666,0,-0.700556562360136,0,-1.54643494465537,0,8.33166036224196,0,8.66751740668538,0
"7316","OTEX",714157,"6/30/14",2014,1.228195,1.12417,0.578899,0.338316,18.54439,11.879502,0.205545611906667,0,0.117044985586646,0,-0.546627255312731,0,-1.08377490901383,0,8.33033199965413,0,8.66731510987185,0
"7317","OTEX",714157,"6/30/15",2015,1.712964,1.593909,0.579676,0.357742,11.015763,6.619077,0.538225203359327,0,0.466189489654314,0,-0.545285952217996,0,-1.02794322278024,0,8.32851525872037,0,8.66640927216841,0
"7318","OTEX",714157,"6/30/16",2016,2.492102,2.356828,0.615999,0.416361,8.456674,5.282781,0.91312653106669,0,0.85731664717161,0,-0.484509938826558,0,-0.876202606570053,0,8.32789696985773,0,8.66617903314292,0
"7319","OTEX",714157,"6/30/17",2017,0.890363,0.78894,0.527667,0.343533,6.39892,3.496776,-0.1161260342418,0,-0.237065006655255,0,-0.639289876057495,0,-1.06847210206515,0,8.32739952863958,0,8.6658712280691,0
"7320","OTEX",714157,"6/30/18",2018,1.334789,1.177256,0.521282,0.337478,7.224357,3.895184,0.288773226926154,0,0.163186306752026,0,-0.651464116866179,0,-1.08625495597938,0,8.3275990994088,0,8.66593989902351,0
"7365","PANW",199345,"7/31/13",2013,2.570082,2.460345,0.534807,0,-117.959459,-251.635135,0.943937805012909,0,0.900301584013454,0,-0.625849344834774,0,-Inf,0,8.29686829919755,0,8.62089801286857,0
"7366","PANW",199345,"7/31/14",2014,2.752458,2.607971,0.683061,0.315783,-28.789474,-39,1.01249433064269,0,0.958572524370681,0,-0.38117111153997,0,-1.15270001014851,0,8.31885456979923,0,8.65851912750667,0
"7367","PANW",199345,"7/31/15",2015,1.040496,0.970161,0.75173,0.247863,-4.690583,-5.986547,0.0396975225385403,0,-0.0302932418763187,0,-0.285378062056699,0,-1.39487910481178,0,8.3247144850644,0,8.66423525674932,0
"7368","PANW",199345,"7/31/16",2016,2.094946,1.929972,0.686901,0.175005,-6.294872,-8.123932,0.739527777385578,0,0.657505495039535,0,-0.375565101947376,0,-1.74294073403821,0,8.3243254493103,0,8.66386616584746,0
"7369","PANW",199345,"7/31/17",2017,1.645134,1.504287,0.779077,0.152604,-4.897959,-7.338776,0.497821839866299,0,0.40831903179106,0,-0.249645393323544,0,-1.87990894815553,0,8.32466420546058,0,8.66400176508287,0
"7370","PANW",199345,"7/31/18",2018,1.931383,1.809246,0.834037,0.329744,-1.10473,-4.361486,0.65823632660659,0,0.592910183900802,0,-0.181477513099073,0,-1.10943868315298,0,8.32558349791817,0,8.66451578666948,0
"7379","PAYC",746934,"12/31/14",2014,1.019412,0.04116,0.907037,0.033828,6.682841,4.589301,0.01922599048489,0,-3.19028836801629,0,-0.0975720358732465,0,-3.38646641706216,0,8.32746817838719,0,8.66605952812064,0
