"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"2850","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2011-12-31",2011,0.64296929970744,0.126032716482888,0.898039005858905,5.32493646164959,18.8076463158146,1.69197939880371,"False",3.17329464887449,"False",1.67240077943972,"False",9.35087329774237,"False",-2.07121375110899,"False"
"2851","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2012-12-31",2012,0.376356524363629,0.109305470809857,-0.157061889512682,5.15647903742312,-69.0173792868111,1.64163514691831,"False",3.12811707668404,"False",1.64025398949337,"False",9.3432129590751,"False",-2.21360883189712,"False"
"2852","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2013-12-31",2013,0.383924685797579,0.112627487484446,-0.324735120289719,4.86471950349359,-32.334045023009,1.64309974758963,"False",3.12074585615627,"False",1.58200905796215,"False",9.34641971899342,"False",-2.18366947686516,"False"
"2853","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2014-12-31",2014,0.453097818994432,0.0835858402915807,0.106053618098178,4.28978488901503,134.648871543265,1.65638774840306,"False",3.13957568512562,"False",1.45623658926201,"False",9.36088836588762,"False",-2.48188114773959,"False"
"2854","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2015-12-31",2015,0.165547150897506,0.915528036710261,-1.20943198823981,5.32338198095591,-8.1112456883808,1.5999523652938,"False",3.0809269187574,"False",1.6721088120811,"False",9.34853158886505,"False",-0.0882542908577793,"False"
"2855","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2016-12-31",2016,0.152368712697298,0.517805815093639,-2.13830033612709,6.01870293751291,-5.35004358682384,1.59728801152448,"False",3.03734011935711,"False",1.79487177722123,"False",9.34877204191911,"False",-0.658154981342208,"False"
"2856","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2017-12-31",2017,0.3842255551943,0.357667444179606,-0.242659341252538,6.98084876038758,-62.8040936785516,1.64315792792601,"False",3.12436084604837,"False",1.94317050829113,"False",9.34375683192603,"False",-1.02815165117399,"False"
"2857","CY",526074,"CYPRESS SEMICONDUCTOR CORP /DE/",101004,"Technology","Semiconductors","2018-12-31",2018,0.388233016491052,0.447188935530307,0.952748416080478,6.67379587186776,13.3508487501128,1.64393254434656,"False",3.17558246328003,"False",1.89818879428573,"False",9.35039904686086,"False",-0.804774099105854,"False"
"2887","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2013-12-31",2013,0.0432286075728248,0.0600656254643449,0.119745481621878,3.93352738103297,575.637586206897,1.57494541731236,"False",3.14016838311901,"False",1.36953657574754,"False",9.39812196789488,"False",-2.81231755673815,"False"
"2888","DATA",711049,"Tableau Software Inc",101003,"Technology","Application Software","2014-12-31",2014,0.0344210557931387,0.106679837445001,0.0790242064613356,5.5519584493871,1072.58274135876,1.57312042376571,"False",3.13840459459048,"False",1.71415073927648,"False",9.4384829929186,"False",-2.23792310343213,"False"
