"","Ticker","SimFinId","Company.Name","Sector","Industry","Fiscal.Year","Operating.Profit.Margin","Operating.Profit.Margin.out","Return.On.Capital","Return.On.Capital.t","Return.On.Capital.out","Return.On.Equity","Return.On.Equity.t","Return.On.Equity.out","Book.to.Market.Ratio","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out","Receivable.Turnover","Receivable.Turnover.t","Receivable.Turnover.out","Return","Return2","Return3","Return4","Year.adj"
"1685","SOHU",138944,"SOHU COM INC","Technology","Online Media",2012,0.211961008282414,FALSE,0.3705749710652,0.718277111984437,FALSE,0.404578123740493,0.739606635188531,FALSE,0.757658439614717,-0.148685461555724,FALSE,12.2573794592608,2.53074774000365,FALSE,-0.0723104056437389,-0.330157049585318,-0.400711996439801,0.669842950414681,2011
"1686","SOHU",138944,"SOHU COM INC","Technology","Online Media",2013,0.131032212267028,FALSE,0.331342284071606,0.691978000063232,FALSE,0.331342284071606,0.691978000063232,FALSE,0.654114011097758,-0.276681830090645,FALSE,14.2307160714649,2.67664436136571,FALSE,0.516531503431067,0.761973684210526,0.566434592221144,1.76197368421053,2012
"1687","SOHU",138944,"SOHU COM INC","Technology","Online Media",2015,0.0633904137699261,FALSE,0.338392009149757,0.696851169105606,FALSE,0.522568224679215,0.805466840657839,FALSE,0.784061165497841,-0.118510059857553,FALSE,8.40747653004978,2.16481541453822,FALSE,0.0707732634338139,0.0799486960239419,0.0769135363262574,1.07994869602394,2014
"1688","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2012,0.115318455079623,FALSE,0.876962236815214,0.957180033591511,FALSE,1.19621297524419,1.06153952609121,FALSE,0.724884383304464,-0.187455395032944,FALSE,12.3449877552776,2.53769711174618,FALSE,-0.555555555555555,-0.5,-0.693147180559945,0.5,2011
"1689","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2013,0.028207714784004,FALSE,0.617748248230498,0.851668348765145,FALSE,0.822614212617696,0.936983772729066,FALSE,0.397798649031889,-0.689194276491608,FALSE,12.6454953253689,2.56117395279742,FALSE,1,0.415384615384615,0.347401307153403,1.41538461538462,2012
"1690","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2014,0.0849662679160046,FALSE,0.761833633135928,0.913313857759097,FALSE,0.935318251759255,0.977957097856675,FALSE,0.371227966213002,-0.743578360926868,FALSE,10.923048312916,2.41846100095797,FALSE,0.142857142857143,0.402173913043478,0.338023827312632,1.40217391304348,2013
"1691","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2015,0.0759625240731367,FALSE,0.748346413636698,0.907892079343625,FALSE,0.863156185564994,0.952130467241601,FALSE,0.449085551353647,-0.591914092456928,FALSE,13.7554167402847,2.64340029148341,FALSE,-0.0725806451612904,-0.115384615384615,-0.122602322092332,0.884615384615384,2014
"1692","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2017,0.0346658437831904,FALSE,0.61470441129748,0.850267233759168,FALSE,0.678465896735488,0.878704143296235,FALSE,0.291086872667209,-0.928189777598815,FALSE,9.56589714468444,2.28964311482622,FALSE,0.660869565217391,0.285714285714286,0.251314428280906,1.28571428571429,2016
"1693","SOTK",94282,"SONO TEK CORP","Technology","Computer Hardware",2018,0.00710506883140408,FALSE,0.657710542245658,0.869650867197614,FALSE,0.711931864511815,0.89292053435183,FALSE,0.196542994345741,-1.20156002121981,FALSE,14.9844200532282,2.72719489957032,FALSE,0.518518518518519,1.04861111111111,0.717162056763819,2.04861111111111,2017
"1694","SPLK",51255,"SPLUNK INC","Technology","Application Software",2018,-0.139307602287286,FALSE,0.0130186682371183,0.235245966922769,FALSE,0.0270135886776147,0.300050319994799,FALSE,0.0995234198861055,-1.59108175035629,FALSE,4.54831198775015,1.57976786444697,FALSE,0.258099352051836,0.477797513321492,0.390552812681518,1.47779751332149,2017
