"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Long Term Debt","Income Tax (Expense) Benefit, Net","Shares (Diluted)","Revenue","Inventories"
"7087","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2015-12-31",2015,18714597000,-66636000,483431048,1043768000,1118762690.71885
"7088","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2016-12-31",2016,18544075000,-24561000,483431048,1908093000,1202244207.06316
"7089","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2017-12-31",2017,21193859000,-224326000,506288971,3282265000,1357173025.07767
"7090","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2018-12-31",2018,22341192000,194098000,533707039,2395836000,1203087334.4266
"7091","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2010-06-30",2010,745747000,-78881000,173034000,1820760000,401730000
"7092","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2011-06-30",2011,746290000,-315578000,170352000,3175167000,575730000
"7093","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2012-06-30",2012,746833000,-218079000,170147000,3171944000,650802000
"7094","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2013-06-30",2013,747376000,-147472000,169260000,2842781000,634448000
"7095","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2014-06-30",2014,745101000,-151706000,168118000,2929408000,656457000
"7096","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2015-06-30",2015,3173435000,-67973000,163701000,2814049000,617904000
"7097","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2016-06-30",2016,3057936000,-153770000,156779000,2984493000,698635000
"7098","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2017-06-30",2017,2680474000,-247170000,157481000,3480014000,732988000
"7099","KLAC",132518,"KLA TENCOR CORP",101004,"Technology","Semiconductors","2018-06-30",2018,2237402000,-653666000,157378000,4036701000,931845000
